"city_depart","city_arrival","count","city_arrival_present","city_depart_present"
11004,71016,1,NA,NA
11004,71022,3,NA,NA
11004,71037,1,NA,NA
11004,71053,2,NA,NA
11004,71069,1,NA,NA
11004,72039,3,NA,NA
11004,73009,1,NA,NA
11005,11001,239,NA,NA
11005,11002,1272,NA,NA
11005,11004,11,NA,NA
11005,11005,1053,NA,NA
11005,11007,9,NA,NA
11005,11008,11,NA,NA
11005,11009,2,NA,NA
11005,11013,66,NA,NA
11005,11016,3,NA,NA
11005,11018,77,NA,NA
11005,11021,8,NA,NA
11005,11022,1,NA,NA
11005,11023,13,NA,NA
11005,11024,132,NA,NA
11005,11025,5,NA,NA
11005,11029,77,NA,NA
11005,11030,93,NA,NA
11005,11035,7,NA,NA
11005,11037,267,NA,NA
11005,11038,87,NA,NA
11005,11039,7,NA,NA
11005,11040,18,NA,NA
11005,11044,2,NA,NA
11005,11050,12,NA,NA
11005,11052,22,NA,NA
11005,11054,5,NA,NA
11005,11056,22,NA,NA
11005,11057,2,NA,NA
11005,12002,3,NA,NA
11005,12005,5,NA,NA
11005,12007,52,NA,NA
11005,12009,31,NA,NA
11005,12014,4,NA,NA
11005,12021,25,NA,NA
11005,12025,141,NA,NA
11005,12029,3,NA,NA
11005,12030,152,NA,NA
11005,12034,4,NA,NA
11005,12035,16,NA,NA
11005,12040,134,NA,NA
11005,13001,2,NA,NA
11005,13004,5,NA,NA
11005,13008,3,NA,NA
11005,13010,6,NA,NA
11005,13011,6,NA,NA
11005,13013,1,NA,NA
11005,13017,1,NA,NA
11005,13019,1,NA,NA
11005,13023,1,NA,NA
11005,13029,11,NA,NA
11005,13040,5,NA,NA
11005,13046,14,NA,NA
11005,13049,2,NA,NA
11005,21001,7,NA,NA
11005,21002,5,NA,NA
11005,21003,1,NA,NA
11005,21004,75,NA,NA
11005,21005,6,NA,NA
11005,21006,16,NA,NA
11005,21007,6,NA,NA
11005,21009,19,NA,NA
11005,21010,2,NA,NA
11005,21011,1,NA,NA
11005,21012,9,NA,NA
11005,21013,6,NA,NA
11005,21014,4,NA,NA
11005,21015,20,NA,NA
11005,21016,3,NA,NA
11005,21017,1,NA,NA
11005,21018,9,NA,NA
11005,21019,3,NA,NA
11005,23002,4,NA,NA
11005,23003,1,NA,NA
11005,23016,3,NA,NA
11005,23025,13,NA,NA
11005,23027,4,NA,NA
11005,23033,1,NA,NA
11005,23038,1,NA,NA
11005,23039,12,NA,NA
11005,23045,55,NA,NA
11005,23047,20,NA,NA
11005,23050,6,NA,NA
11005,23052,1,NA,NA
11005,23062,1,NA,NA
11005,23081,1,NA,NA
11005,23086,5,NA,NA
11005,23088,25,NA,NA
11005,23094,33,NA,NA
11005,23096,7,NA,NA
11005,23098,2,NA,NA
11005,23099,1,NA,NA
11005,23101,1,NA,NA
11005,23102,6,NA,NA
11005,23104,1,NA,NA
11005,23105,1,NA,NA
11005,24001,5,NA,NA
11005,24007,1,NA,NA
11005,24014,1,NA,NA
11005,24016,1,NA,NA
11005,24020,1,NA,NA
11005,24038,1,NA,NA
11005,24045,1,NA,NA
11005,24048,2,NA,NA
11005,24055,3,NA,NA
11005,24062,15,NA,NA
11005,24086,1,NA,NA
11005,24107,2,NA,NA
11005,24134,1,NA,NA
11005,25015,1,NA,NA
11005,25072,1,NA,NA
11005,25112,1,NA,NA
11005,32003,1,NA,NA
11005,32011,1,NA,NA
11005,41002,4,NA,NA
11005,41048,1,NA,NA
11005,41081,1,NA,NA
11005,42004,1,NA,NA
11005,42006,4,NA,NA
11005,44020,1,NA,NA
11005,44021,9,NA,NA
11005,44043,1,NA,NA
11005,44052,2,NA,NA
11005,45017,1,NA,NA
11005,46003,29,NA,NA
11005,46013,4,NA,NA
11005,46014,5,NA,NA
11005,46021,25,NA,NA
11005,46025,13,NA,NA
11005,71016,1,NA,NA
11005,71020,1,NA,NA
11005,71022,2,NA,NA
11005,71034,1,NA,NA
11005,71057,1,NA,NA
11005,72037,1,NA,NA
11005,73083,1,NA,NA
11005,73107,1,NA,NA
11005,92094,1,NA,NA
11007,11001,14,NA,NA
11007,11002,2085,NA,NA
11007,11004,38,NA,NA
11007,11005,5,NA,NA
11007,11007,378,NA,NA
11007,11008,23,NA,NA
11007,11009,7,NA,NA
11007,11013,44,NA,NA
11007,11016,1,NA,NA
11007,11018,8,NA,NA
