"city_depart","city_arrival","count","city_arrival_present","city_depart_present"
52011,11002,30,NA,NA
52011,12014,1,NA,NA
52011,12025,8,NA,NA
52011,13040,2,NA,NA
52011,21001,297,NA,NA
52011,21004,1387,NA,NA
52011,21009,241,NA,NA
52011,21015,182,NA,NA
52011,21016,142,NA,NA
52011,24062,14,NA,NA
52011,31005,14,NA,NA
52011,34022,4,NA,NA
52011,35013,3,NA,NA
52011,36015,1,NA,NA
52011,41002,5,NA,NA
52011,44021,6,NA,NA
52011,46021,6,NA,NA
52011,52011,26103,NA,NA
52011,53053,293,NA,NA
52011,55022,397,NA,NA
52011,57081,32,NA,NA
52011,62003,5,NA,NA
52011,62051,10,NA,NA
52011,62063,45,NA,NA
52011,62096,13,NA,NA
52011,63079,4,NA,NA
52011,71016,8,NA,NA
52011,71022,4,NA,NA
52011,81001,6,NA,NA
52011,81004,1,NA,NA
52011,83034,47,NA,NA
52011,92094,555,NA,NA
52011,92137,216,NA,NA
53053,11002,17,NA,NA
53053,12025,7,NA,NA
53053,21001,207,NA,NA
53053,21004,1042,NA,NA
53053,21009,153,NA,NA
53053,21015,133,NA,NA
53053,21016,100,NA,NA
53053,24062,10,NA,NA
53053,31005,10,NA,NA
53053,35013,1,NA,NA
53053,41002,3,NA,NA
53053,44021,11,NA,NA
53053,46021,1,NA,NA
53053,52011,630,NA,NA
53053,53053,10970,NA,NA
53053,55022,631,NA,NA
53053,57081,198,NA,NA
53053,62003,1,NA,NA
53053,62063,25,NA,NA
53053,62096,1,NA,NA
53053,71016,1,NA,NA
53053,71022,1,NA,NA
53053,81001,3,NA,NA
53053,83034,7,NA,NA
53053,92094,130,NA,NA
53053,92137,8,NA,NA
55022,11002,10,NA,NA
55022,12014,1,NA,NA
55022,12025,6,NA,NA
55022,13040,2,NA,NA
55022,21001,159,NA,NA
55022,21004,672,NA,NA
55022,21009,103,NA,NA
55022,21015,91,NA,NA
55022,21016,65,NA,NA
55022,24062,8,NA,NA
55022,31005,3,NA,NA
55022,34022,3,NA,NA
55022,36015,1,NA,NA
55022,41002,5,NA,NA
55022,44021,8,NA,NA
55022,46003,12,NA,NA
55022,46021,3,NA,NA
55022,52011,851,NA,NA
55022,53053,761,NA,NA
55022,55022,7147,NA,NA
55022,57081,25,NA,NA
55022,62051,1,NA,NA
55022,62063,19,NA,NA
55022,62096,6,NA,NA
55022,71022,1,NA,NA
55022,81001,2,NA,NA
55022,83034,6,NA,NA
55022,92094,87,NA,NA
55022,92137,9,NA,NA
57081,11002,5,NA,NA
57081,13040,1,NA,NA
57081,21001,70,NA,NA
57081,21004,540,NA,NA
57081,21009,68,NA,NA
57081,21015,61,NA,NA
57081,21016,38,NA,NA
57081,24062,5,NA,NA
57081,31005,12,NA,NA
57081,34022,31,NA,NA
57081,35013,2,NA,NA
57081,36015,10,NA,NA
57081,41002,1,NA,NA
57081,44021,12,NA,NA
57081,46021,3,NA,NA
57081,52011,114,NA,NA
57081,53053,376,NA,NA
57081,55022,49,NA,NA
57081,57081,11476,NA,NA
57081,62003,1,NA,NA
57081,62051,1,NA,NA
57081,62063,10,NA,NA
57081,63079,1,NA,NA
57081,71004,1,NA,NA
57081,71016,1,NA,NA
57081,81001,2,NA,NA
57081,83034,4,NA,NA
57081,92094,23,NA,NA
57081,92137,4,NA,NA
62003,11002,3,NA,NA
62003,21001,16,NA,NA
62003,21004,247,NA,NA
62003,21009,21,NA,NA
62003,21015,26,NA,NA
62003,21016,6,NA,NA
62003,24062,9,NA,NA
62003,31005,3,NA,NA
62003,44021,1,NA,NA
62003,52011,17,NA,NA
62003,53053,1,NA,NA
62003,55022,3,NA,NA
62003,62003,1556,NA,NA
62003,62051,436,NA,NA
62003,62063,2955,NA,NA
62003,62096,305,NA,NA
62003,63079,48,NA,NA
62003,71016,7,NA,NA
62003,71022,4,NA,NA
62003,81001,3,NA,NA
62003,83034,8,NA,NA
62003,92094,80,NA,NA
62003,92137,3,NA,NA
62051,11002,2,NA,NA
62051,12014,1,NA,NA
62051,12025,1,NA,NA
62051,21001,7,NA,NA
62051,21004,102,NA,NA
62051,21009,8,NA,NA
62051,21015,14,NA,NA
62051,21016,10,NA,NA
62051,24062,6,NA,NA
62051,31005,2,NA,NA
62051,52011,16,NA,NA
62051,53053,1,NA,NA
62051,62003,250,NA,NA
62051,62051,2796,NA,NA
62051,62063,3229,NA,NA
62051,62096,232,NA,NA
62051,63079,64,NA,NA
62051,71016,14,NA,NA
62051,71022,7,NA,NA
62051,81001,2,NA,NA
62051,81004,1,NA,NA
62051,83034,8,NA,NA
